date,food,amt,unit,calories-amt,protein-amt,totalcarb-amt
05-Jun-23,rotisserie-chicken,78.0,g,143.5,21.4,0.0
05-Jun-23,white-rice,214.0,g,277.7,5.8,60.3
05-Jun-23,brown-rice,214.0,g,238.0,5.0,50.2
05-Jun-23,cherry-tomatoes,180.0,g,31.8,0.0,10.6
05-Jun-23,cucumber,132.0,g,19.7,0.9,4.8
05-Jun-23,baby-carrots,140.0,g,49.0,0.8,11.5
05-Jun-23,snap-peas,118.0,g,49.9,4.5,9.1
06-Jun-23,broccoli,37.0,g,12.6,1.0,2.6
06-Jun-23,rotisserie-chicken,90.0,g,165.6,24.7,0.0
06-Jun-23,white-rice,128.5,g,166.7,3.5,36.2
06-Jun-23,brown-rice,128.5,g,142.9,3.0,30.2
06-Jun-23,cherry-tomatoes,150.0,g,26.5,0.0,8.8
06-Jun-23,cucumber,188.0,g,28.1,1.2,6.8
06-Jun-23,baby-carrots,160.0,g,56.0,1.0,13.1
06-Jun-23,snap-peas,115.0,g,48.7,4.4,8.8
07-Jun-23,banana,145.0,g,129.0,1.6,33.4
07-Jun-23,cereal-granola,56.4,g,264.4,5.9,38.2
07-Jun-23,mixed-nuts,37.6,g,225.6,6.8,9.0
07-Jun-23,frozen-berries,80.0,g,34.3,0.6,9.1
